"rn","lcSn","bsshNm","telno","adres","etcAdres","zip","lcinfoLa","lcinfoLo","cl","clNm","scopeCd","scope","hmpg"
"1","50006736"," GS25시(온양점)","052-237-6234"," 울산시 울주군 온양읍 발리 600-5","","689-904","35.4081475","129.2949859","09","아동안전지킴이집","","",""
"2","50042054","(김포) 행복마을관리소","031-981-2212","경기도 김포시 봉화로 171-0,2층","2층","10102","37.6272224","37.6272224","09","아동안전지킴이집","","",""
"3","50009796","(김포)CU (김포월곶점)","031-997-5146","경기도 김포시 애기봉로 13-0","","10024","37.7163891","126.5556984","09","아동안전지킴이집","","",""
"4","50034674","(김포)CU 김포등기소점","031-985-5570","경기도 김포시 봉화로 13-0","","10109","37.6181154","126.7159415","09","아동안전지킴이집","","",""
"5","50009724","(김포)CU 사우공원점","031-986-6776","경기도 김포시 돌문로 50-12","","10108","37.6199223","126.7180513","09","아동안전지킴이집","","",""
"6","50042053","(김포)CU리버시티 2단지점","031-998-0783","경기도 김포시 상미로 38-0,2단지 1게이트 상가 끝라인","2단지 1게이트 상가 끝라인","10121","37.619224","126.7461322","09","아동안전지킴이집","","",""
"7","50039409","(김포)CU양곡초점","031-987-3867","경기도 김포시 양곡로 547-0","","10059","37.6547041","126.6224185","09","아동안전지킴이집","","",""
"8","50039446","(김포)CU장기 현대점","031-984-9827","경기도 김포시 김포한강4로 176-0,현대프라자 113호","현대프라자 113호","10082","37.6478073","126.6627614","09","아동안전지킴이집","","",""
"9","50009713","(김포)GS25 김포북변점","-031-","경기도 김포시 봉화로 167-0","","10102","37.6269476","126.7029771","09","아동안전지킴이집","","",""
"10","50009752","(김포)GS25 마송주공점","031-989-3815","경기도 김포시 김포대로2270번길 16-0,김포대로2250번길 23-37","김포대로2250번길 23-37","10019","37.6912347","126.5953026","09","아동안전지킴이집","","",""
"11","50009736","(김포)GS25(김포프라자점)","031-982-1670","경기도 김포시 사우중로73번길 38-0","","10097","37.6225096","126.7206688","09","아동안전지킴이집","","",""
"12","50009738","(김포)HY김포점","031-996-0084","경기도 김포시 김포대로802번길 36-0","","10111","37.6193923","126.7248454","09","아동안전지킴이집","","",""
"13","50009737","(김포)HY장기점","--","경기도 김포시 김포한강1로78번길 32-21,1465","1465","10079","37.6432388","126.6722932","09","아동안전지킴이집","","",""
"14","50039452","(김포)강철태권도장","031-982-1033","경기도 김포시 양곡3로1번길 26-34,2층","2층","10062","37.6541053","126.6313482","09","아동안전지킴이집","","",""
"15","50034675","(김포)건강 프라자 약국","031-998-0295","경기도 김포시 유현로 19-0","","10120","37.5974624","126.7232381","09","아동안전지킴이집","","",""
