"serial_no","place_name","phone_number","address","zip_code","sigungu","sido"
"50006736","GS25시(온양점)","052-237-6234","울산시 울주군 온양읍 발리 600-5","689-904","울산시","울산"
"50042054","(김포) 행복마을관리소","031-981-2212","경기도 김포시 봉화로 171-0 2층","10102","김포시","경기"
"50009796","(김포)CU (김포월곶점)","031-997-5146","경기도 김포시 애기봉로 13-0","10024","김포시","경기"
"50034674","(김포)CU 김포등기소점","031-985-5570","경기도 김포시 봉화로 13-0","10109","김포시","경기"
"50009724","(김포)CU 사우공원점","031-986-6776","경기도 김포시 돌문로 50-12","10108","김포시","경기"
"50042053","(김포)CU리버시티 2단지점","031-998-0783","경기도 김포시 상미로 38-0 2단지 1게이트 상가 끝라인","10121","김포시","경기"
"50039409","(김포)CU양곡초점","031-987-3867","경기도 김포시 양곡로 547-0","10059","김포시","경기"
"50039446","(김포)CU장기 현대점","031-984-9827","경기도 김포시 김포한강4로 176-0 현대프라자 113호","10082","김포시","경기"
"50009713","(김포)GS25 김포북변점","-031-","경기도 김포시 봉화로 167-0","10102","김포시","경기"
"50009752","(김포)GS25 마송주공점","031-989-3815","경기도 김포시 김포대로2270번길 16-0 김포대로2250번길 23-37","10019","김포시","경기"
"50009736","(김포)GS25(김포프라자점)","031-982-1670","경기도 김포시 사우중로73번길 38-0","10097","김포시","경기"
"50009738","(김포)HY김포점","031-996-0084","경기도 김포시 김포대로802번길 36-0","10111","김포시","경기"
"50009737","(김포)HY장기점","--","경기도 김포시 김포한강1로78번길 32-21 1465","10079","김포시","경기"
"50039452","(김포)강철태권도장","031-982-1033","경기도 김포시 양곡3로1번길 26-34 2층","10062","김포시","경기"
"50034675","(김포)건강 프라자 약국","031-998-0295","경기도 김포시 유현로 19-0","10120","김포시","경기"
"50009705","(김포)건영마트","031-988-4623","경기도 김포시 풍년로 45-0","10111","김포시","경기"
"50041600","(김포)고려백호태권도","031-986-4219","경기도 김포시 양곡3로1번길 26-30 한솔프라자 2층","10062","김포시","경기"
"50041026","(김포)그랜드마트","031-989-5840","경기도 김포시 조강로36번길 39-0","10018","김포시","경기"
"50009780","(김포)길훈문구","031-985-1812","경기도 김포시 장차로 23-0","10126","김포시","경기"
"50043162","(김포)나비문구","031-998-8850","경기도 김포시 김포한강9로 36-0 107호","10070","김포시","경기"
"50009758","(김포)대명약국","031-988-0863","경기도 김포시 조강로36번길 14-0","10018","김포시","경기"
"50009790","(김포)대성지물포","031-988-8474","경기도 김포시 애기봉로 860-0","10011","김포시","경기"
"50009762","(김포)동경돈까스","031-997-8929","경기도 김포시 김포대로 2501-0","10029","김포시","경기"
"50039442","(김포)맥과이어스 디테일링","--","경기도 김포시 초당로61번길 11-0 1층","10079","김포시","경기"
"50039445","(김포)부동산중개 김포자이","031-982-3611","경기도 김포시 태장로 845-0 센트럴자이 1차 초등학교 앞","10091","김포시","경기"
"50039455","(김포)비즈미","031-988-1253","경기도 김포시 김포한강4로 487-0 반도유보라4차 상가 1504호","10066","김포시","경기"
"50009748","(김포)산들바이크(삼천리자전거)","031-989-8556","경기도 김포시 김포한강1로78번길 61-48","10079","김포시","경기"
"50039407","(김포)삼성태권도","031-998-7778","경기도 김포시 감정로 42-0 신안실크밸리상가 2층","10104","김포시","경기"
"50009757","(김포)새천년약국","031-981-9098","경기도 김포시 조강로 35-0","10018","김포시","경기"
"50009803","(김포)석정마트","031-989-2847","경기도 김포시 대곶로 338-0","10028","김포시","경기"
"50043164","(김포)성심약국","031-982-6547","경기도 김포시 김포한강9로 40-0","10070","김포시","경기"
"50034669","(김포)세븐일레븐","031-997-3205","경기도 김포시 장곡로 54-0","415-813","김포시","경기"
"50039440","(김포)세븐일레븐 김포3호점","031-988-5874","경기도 김포시 사우중로74번길 39-0 104호","10111","김포시","경기"
"50041036","(김포)세븐일레븐 김포대우점","031-984-1893","경기도 김포시 봉화로182번길 29-0","10101","김포시","경기"
"50009710","(김포)세븐일레븐 청원점","031-981-0125","경기도 김포시 사우중로 92-0","10111","김포시","경기"
"50038459","(김포)센타약국","031-983-4986","경기도 김포시 전원로 44-0","10077","김포시","경기"
"50039459","(김포)소망아트","031-984-5400","경기도 김포시 유현로33번길 36-12","10120","김포시","경기"
"50009810","(김포)수남마트","031-982-4593","경기도 김포시 수남로 22-0","10046","김포시","경기"
"50009811","(김포)수남보건진료소","031-980-5494","경기도 김포시 수남로22번길 7-0","10046","김포시","경기"
"50009716","(김포)아트문구","031-984-2648","경기도 김포시 북변중로65번길 33-0","10106","김포시","경기"
"50043163","(김포)엄마손분식","031-989-9898","경기도 김포시 김포한강10로134번길 77-0 104호","10070","김포시","경기"
"50039441","(김포)엘리트체육관","--","경기도 김포시 풍년로 22-0 예은유치원 3층","10111","김포시","경기"
"50034685","(김포)엘리트태권도","031-985-9707","경기도 김포시 사우중로74번길 29-0 시그마프라자 2층","10111","김포시","경기"
"50009799","(김포)영아트","031-981-5836","경기도 김포시 율생중앙로 46-0","10039","김포시","경기"
"50034683","(김포)용인대타이곤","031-985-9873","경기도 김포시 북변중로 43-0","10106","김포시","경기"
"50034678","(김포)용인대타이곤프렌즈 태권도","031-986-9992","경기도 김포시 유현로33번길 36-12 561-6 부광아이노스","10120","김포시","경기"
"50009704","(김포)월드문구","031-982-5534","경기도 김포시 봉화로 180-0","10101","김포시","경기"
"50009720","(김포)주연메디칼약국","031-993-9799","경기도 김포시 중봉로 9-0","10103","김포시","경기"
"50038506","(김포)테라스크린","031-986-8248","경기도 김포시 김포한강11로438번길 123-0 1201동 116호","10074","김포시","경기"
"50039457","(김포)통진신협","031-987-0161","경기도 김포시 김포대로2230번길 14-16","10018","김포시","경기"
"50042052","(김포)파리바게뜨 김포향산점","031-983-3383","경기도 김포시 상미1로 4-0 102호","10121","김포시","경기"
"50041927","(김포)한얼정보통신","031-996-0106","경기도 김포시 중봉로 4-0","10102","김포시","경기"
"50034696","(김포)황금마트","031-983-8669","경기도 김포시 황금로48번길 5-37","10047","김포시","경기"
"50009772","(김포)후암사랑샘 약국","031-982-4767","경기도 김포시 양곡로 537-0","10059","김포시","경기"
"50009804","(김포)훈기상회(훈이네마트)","031-989-4214","경기도 김포시 대곶로 327-0","10026","김포시","경기"
"50002916","(복)꿀벌어린이집","053-957-8846","대구광역시 동구 송라로28길 21-6","41206","대구","대구"
"50037256","(부천시)CU도당누리점","032-676-4939","경기도 부천시 원미구 성곡로69번길 93-0 1층","14482","부천시","경기"
"50039604","(부천시)CU부천시청점","032-000-0000","경기도 부천시 길주로 199-0 굿모닝프라자 117호","14538","부천시","경기"
"50039609","(부천시)CU부천원미점","032-653-6545","경기도 부천시 원미로 143-0 143-0","14567","부천시","경기"
"50039725","(부천시)CU상동베스트점","032-667-3254","경기도 부천시 석천로38번길 13-0 1층","14620","부천시","경기"
"50039719","(부천시)CU상동사랑마을점","032-249-2885","경기도 부천시 부흥로 152-0 1층 107-109","14600","부천시","경기"
"50037260","(부천시)CU역곡은하점","032-351-6307","경기도 부천시 역곡로20번길 49-0 은하빌딩 1층","14670","부천시","경기"
"50039608","(부천시)CU중동역점","032-652-7181","경기도 부천시 부일로298번길 25-0 1층","14625","부천시","경기"
"50037258","(부천시)CU편의점(역곡2동점)","032-341-0510","경기도 부천시 부일로 711-0 1층","14672","부천시","경기"
"50037251","(부천시)CU편의점(원미사랑점)","032-655-0388","경기도 부천시 조종로 27-0 1층","14568","부천시","경기"
"50008281","(부천시)GS 중동공원점","032-323-6399","경기도 부천시 소향로 149-0 B동 112호","14547","부천시","경기"
"50008373","(부천시)GS25(상동서해점)","032-327-8328","경기도 부천시 소향로 25-0 107호","14544","부천시","경기"
"50008372","(부천시)GS25(송내점)","032-321-6558","경기도 부천시 부일로221번길 26-0 삼원빌딩 102호","14623","부천시","경기"
"50036794","(부천시)GS25시 중동본점","032-657-6945","경기도 부천시 심중로114번길 35-0 1층","14610","부천시","경기"
"50041579","(부천시)GS25중동덕유점","--","경기도 부천시 중동로 329-0 105호","14536","부천시","경기"
"50039605","(부천시)GS부천상도점","032-323-2297","경기도 부천시 장말로 156-0 1층","14601","부천시","경기"
"50008240","(부천시)HY 심곡점","032-656-7581","경기도 부천시 부흥로374번길 25-5","14630","부천시","경기"
"50008383","(부천시)HY 중동점","032-325-0931","경기도 부천시 석천로53번길 11-0 1층","14601","부천시","경기"
"50037866","(부천시)HY( 한국야쿠르트) 약대점","032-678-2174","경기도 부천시 약대동 약대동 175 A동호 (도약로207번길 12)","14517","부천시","경기"
"50008284","(부천시)그린타운써브공인중개사","032-322-7000","경기도 부천시 부흥로303번길 43-0","14581","부천시","경기"
"50008269","(부천시)글로리아문구","032-325-4024","경기도 부천시 계남로 165-0 주공상가 104호","14538","부천시","경기"
"50039603","(부천시)금동마트","032-324-6942","경기도 부천시 중동로280번길 61-0 1층","14539","부천시","경기"
"50037242","(부천시)나들마트(구 동원하이저마켓)","032-323-0039","경기도 부천시 장말로 107-1 1층","14596","부천시","경기"
"50039720","(부천시)뚜레쥬르 중동래미안점","032-674-7973","경기도 부천시 신흥로276번길 15-0 래미안부천중동단지 103호","14533","부천시","경기"
"50008338","(부천시)럭키슈퍼","032-683-9256","경기도 부천시 부천로245번길 42-0 1층","14525","부천시","경기"
"50036790","(부천시)만물슈퍼","032-611-4052","경기도 부천시 부일로505번길 12-0 1층","14642","부천시","경기"
"50036787","(부천시)메디안약국","032-668-7711","경기도 부천시 중동로 162-0 1층","14609","부천시","경기"
"50008256","(부천시)메디칼약국","032-324-6877","경기도 부천시 도약로 29-0 에이스프라자 103호","14504","부천시","경기"
"50008261","(부천시)메디팜 포도마을약국","032-321-6451","경기도 부천시 조마루로 137-0 삼보상가 101호","14583","부천시","경기"
